model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,1.0,173.0,120.0,418.0
relu_0.1_ghada_sgd,0.0,0.0,3.0,1.0,5.0
relu_0.1_ours_adam,0.0,1.0,173.0,117.0,403.0
relu_0.1_ours_sgd,0.0,0.0,3.0,1.0,5.0
relu_0.2_ghada_adam,0.0,25.0,282.0,307.0,455.0
relu_0.2_ghada_sgd,0.0,172.0,336.0,235.0,121.0
relu_0.2_ours_adam,0.0,25.0,268.0,369.0,404.0
relu_0.2_ours_sgd,0.0,172.0,336.0,227.0,216.0
relu_0.3_ghada_adam,7.0,116.0,360.0,393.0,466.0
relu_0.3_ghada_sgd,350.0,472.0,437.0,367.0,397.0
relu_0.3_ours_adam,7.0,146.0,346.0,401.0,467.0
relu_0.3_ours_sgd,350.0,466.0,439.0,388.0,397.0
