layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,1,1,0.9666666666666667,150,176,145
layer4,1,2,0.9779005524861878,262,181,177
layer4,1,3,1.0,192,266,192
layer4,1,4,1.0,69,266,69
layer4,1,5,0.9917355371900827,121,266,120
layer4,1,6,1.0,104,267,104
layer4,1,7,1.0,135,267,135
layer4,1,8,1.0,60,267,60
layer4,1,9,0.9821428571428571,112,267,110
layer4,2,0,0.5687732342007435,279,269,153
layer4,2,1,0.9959016393442623,244,395,243
layer4,2,2,1.0,227,396,227
layer4,2,3,1.0,210,396,210
conv1,2,4,1.0,1,1,1
layer4,2,4,0.9954128440366973,218,396,217
conv1,2,5,1.0,1,1,1
layer4,2,5,0.981203007518797,266,397,261
conv1,2,6,1.0,1,1,1
layer4,2,6,1.0,200,402,200
conv1,2,7,1.0,1,1,1
layer4,2,7,1.0,209,402,209
conv1,2,8,1.0,1,1,1
layer4,2,8,1.0,192,402,192
conv1,2,9,1.0,2,1,1
layer4,2,9,1.0,202,402,202
conv1,3,0,1.0,2,2,2
layer4,3,0,0.8511904761904762,336,402,286
conv1,3,1,1.0,2,2,2
layer4,3,1,1.0,258,452,258
conv1,3,2,1.0,2,2,2
layer4,3,2,1.0,200,452,200
conv1,3,3,0.5,2,2,1
layer4,3,3,1.0,213,452,213
conv1,3,4,1.0,3,3,3
layer4,3,4,0.9964285714285714,280,452,279
conv1,3,5,1.0,3,3,3
layer4,3,5,1.0,239,453,239
conv1,3,6,1.0,3,3,3
layer4,3,6,1.0,258,453,258
conv1,3,7,1.0,3,3,3
layer4,3,7,1.0,242,453,242
conv1,3,8,0.6666666666666666,3,3,2
layer4,3,8,1.0,208,453,208
conv1,3,9,1.0,4,4,4
layer4,3,9,1.0,178,453,178
conv1,4,0,1.0,2,4,2
layer4,4,0,0.9931972789115646,147,453,146
conv1,4,1,1.0,3,4,3
layer4,4,1,0.9956521739130435,230,454,229
conv1,4,2,0.75,4,4,3
layer4,4,2,0.9877049180327869,244,455,241
conv1,4,3,1.0,6,5,5
layer4,4,3,1.0,220,458,220
conv1,4,4,1.0,4,6,4
layer4,4,4,0.9858156028368794,282,458,278
conv1,4,5,1.0,4,6,4
layer4,4,5,0.9893238434163701,281,462,278
conv1,4,6,1.0,3,6,3
layer4,4,6,1.0,206,465,206
conv1,4,7,1.0,5,6,5
layer4,4,7,1.0,2,465,2
conv1,4,8,0.8,5,6,4
layer4,4,8,1.0,170,465,170
conv1,4,9,1.0,4,7,4
layer4,4,9,1.0,107,465,107
