layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,1,1,0.75,4,16,3
conv1,1,2,0.5,2,2,1
layer4,1,2,1.0,2,17,2
conv1,1,3,0.6666666666666666,3,3,2
conv1,1,4,0.5,4,4,2
layer4,1,4,1.0,2,17,2
conv1,1,5,0.8,5,6,4
layer4,1,5,0.8,5,17,4
conv1,1,6,0.8333333333333334,6,7,5
layer4,1,6,1.0,1,18,1
conv1,1,7,0.8571428571428571,7,8,6
layer4,1,7,1.0,1,18,1
conv1,1,8,1.0,6,9,6
layer4,1,8,1.0,1,18,1
conv1,1,9,0.8571428571428571,7,9,6
layer4,1,9,1.0,2,18,2
conv1,2,0,0.875,8,10,7
layer4,2,0,0.7777777777777778,378,18,14
conv1,2,1,1.0,10,11,10
layer4,2,1,1.0,316,382,316
conv1,2,2,1.0,9,11,9
layer4,2,2,1.0,261,382,261
conv1,2,3,1.0,9,11,9
layer4,2,3,1.0,229,382,229
conv1,2,4,1.0,9,11,9
layer4,2,4,0.9924812030075187,266,382,264
conv1,2,5,1.0,8,11,8
layer4,2,5,1.0,243,384,243
conv1,2,6,0.8888888888888888,9,11,8
layer4,2,6,1.0,182,384,182
conv1,2,7,0.9090909090909091,11,12,10
layer4,2,7,1.0,180,384,180
conv1,2,8,1.0,8,13,8
layer4,2,8,1.0,196,384,196
conv1,2,9,0.8333333333333334,12,13,10
layer4,2,9,1.0,181,384,181
conv1,3,0,1.0,12,15,12
layer4,3,0,0.8032786885245902,366,384,294
conv1,3,1,0.9230769230769231,13,15,12
layer4,3,1,0.9813829787234043,376,456,369
conv1,3,2,1.0,12,16,12
layer4,3,2,1.0,335,463,335
conv1,3,3,1.0,13,16,13
layer4,3,3,1.0,322,463,322
conv1,3,4,1.0,12,16,12
layer4,3,4,1.0,301,463,301
conv1,3,5,1.0,13,16,13
layer4,3,5,1.0,255,463,255
conv1,3,6,0.9230769230769231,13,16,12
layer4,3,6,1.0,315,463,315
conv1,3,7,0.9285714285714286,14,17,13
layer4,3,7,1.0,246,463,246
conv1,3,8,1.0,14,18,14
layer4,3,8,1.0,240,463,240
conv1,3,9,1.0,12,18,12
layer4,3,9,1.0,239,463,239
conv1,4,0,1.0,13,18,13
layer4,4,0,0.9524838012958964,486,463,441
conv1,4,1,1.0,14,18,14
layer4,4,1,1.0,479,508,479
conv1,4,2,1.0,13,18,13
layer4,4,2,1.0,478,508,478
conv1,4,3,1.0,14,18,14
layer4,4,3,1.0,472,508,472
conv1,4,4,1.0,14,18,14
layer4,4,4,1.0,471,508,471
conv1,4,5,1.0,15,18,15
layer4,4,5,1.0,456,508,456
conv1,4,6,1.0,14,18,14
layer4,4,6,1.0,442,508,442
conv1,4,7,1.0,13,18,13
layer4,4,7,1.0,445,508,445
conv1,4,8,0.9333333333333333,15,18,14
layer4,4,8,1.0,436,508,436
conv1,4,9,1.0,15,19,15
layer4,4,9,1.0,450,508,450
