model,1,2,3,4,5
relu_0.025_method1_sgd,5.0,6.0,8.0,4.0,35.0
relu_0.025_method2_sgd,5.0,6.0,8.0,4.0,35.0
relu_0.05_method1_sgd,24.0,23.0,9.0,51.0,112.0
relu_0.05_method2_sgd,24.0,23.0,9.0,51.0,112.0
relu_0.1_method1_sgd,102.0,98.0,111.0,144.0,236.0
relu_0.1_method2_sgd,102.0,98.0,111.0,144.0,236.0
