layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,1,3,0.5,4,2,1
layer4,1,6,1.0,1,5,1
layer4,1,7,1.0,1,5,1
layer4,2,1,0.0,51,5,0
layer4,2,2,1.0,4,56,4
layer4,2,3,1.0,1,56,1
layer4,2,4,1.0,1,56,1
layer4,2,5,1.0,2,56,2
layer4,3,0,0.5,4,56,2
layer4,3,1,0.5,2,58,1
layer4,3,2,1.0,2,59,2
layer4,3,3,1.0,3,59,3
layer4,4,0,0.5,6,59,3
conv1,4,1,1.0,1,1,1
conv1,4,2,1.0,1,1,1
conv1,4,3,1.0,1,1,1
conv1,4,4,1.0,2,1,1
conv1,4,5,1.0,2,2,2
conv1,4,6,1.0,2,2,2
layer4,4,6,1.0,1,62,1
conv1,4,7,1.0,2,2,2
conv1,4,8,1.0,2,2,2
layer4,4,8,0.75,4,62,3
conv1,4,9,1.0,2,2,2
layer4,4,9,0.5,4,63,2
