model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,0.0,1.0,72.0,109.0
relu_0.1_ghada_sgd,0.0,0.0,0.0,0.0,0.0
relu_0.1_ours_adam,0.0,0.0,1.0,72.0,109.0
relu_0.1_ours_sgd,0.0,0.0,0.0,0.0,0.0
relu_0.2_ghada_adam,0.0,0.0,32.0,111.0,115.0
relu_0.2_ghada_sgd,0.0,0.0,1.0,0.0,0.0
relu_0.2_ours_adam,0.0,0.0,32.0,111.0,115.0
relu_0.2_ours_sgd,0.0,0.0,2.0,0.0,0.0
relu_0.3_ghada_adam,0.0,0.0,59.0,93.0,125.0
relu_0.3_ghada_sgd,0.0,14.0,16.0,4.0,19.0
relu_0.3_ours_adam,0.0,0.0,59.0,117.0,132.0
relu_0.3_ours_sgd,0.0,24.0,22.0,2.0,20.0
