model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.75,76.8,71.88,68.98,58.89,74.86
relu_0.1_ghada_adam,97.7,78.1,75.12,64.41,55.08,74.08
relu_0.1_ghada_sgd,97.75,76.8,71.88,68.98,59.36,74.95
relu_0.1_ours_adam,97.7,78.1,75.12,64.41,55.08,74.08
relu_0.1_ours_sgd,97.75,76.8,71.88,68.98,59.72,75.03
relu_0.2_ghada_adam,97.7,78.1,77.2,57.16,57.48,73.53
relu_0.2_ghada_sgd,97.75,72.93,77.93,69.62,61.77,76.0
relu_0.2_ours_adam,97.7,78.1,77.2,57.16,57.48,73.53
relu_0.2_ours_sgd,97.75,77.45,75.92,67.4,58.08,75.32
relu_0.3_ghada_adam,97.7,73.6,75.88,62.9,67.28,75.47
relu_0.3_ghada_sgd,97.75,72.43,77.42,65.53,60.75,74.77
relu_0.3_ours_adam,97.7,76.55,76.62,64.74,52.81,73.68
relu_0.3_ours_sgd,97.75,73.75,69.68,65.11,60.48,73.35
