task,layer,inactive_count,epoch,model
3,conv1,1,3,relu_0.1_method1_sgd
3,layer1,4,3,relu_0.1_method1_sgd
3,layer2,1,3,relu_0.1_method1_sgd
3,layer3,4,3,relu_0.1_method1_sgd
3,layer4,25,3,relu_0.1_method1_sgd
3,conv1,1,4,relu_0.1_method1_sgd
3,layer1,3,4,relu_0.1_method1_sgd
3,layer2,1,4,relu_0.1_method1_sgd
3,layer3,6,4,relu_0.1_method1_sgd
3,layer4,64,4,relu_0.1_method1_sgd
3,conv1,1,5,relu_0.1_method1_sgd
3,layer1,2,5,relu_0.1_method1_sgd
3,layer2,4,5,relu_0.1_method1_sgd
3,layer3,7,5,relu_0.1_method1_sgd
3,layer4,46,5,relu_0.1_method1_sgd
3,conv1,1,6,relu_0.1_method1_sgd
3,layer1,2,6,relu_0.1_method1_sgd
3,layer2,2,6,relu_0.1_method1_sgd
3,layer3,8,6,relu_0.1_method1_sgd
3,layer4,25,6,relu_0.1_method1_sgd
3,conv1,1,7,relu_0.1_method1_sgd
3,layer1,2,7,relu_0.1_method1_sgd
3,layer2,2,7,relu_0.1_method1_sgd
3,layer3,6,7,relu_0.1_method1_sgd
3,layer4,47,7,relu_0.1_method1_sgd
3,conv1,1,8,relu_0.1_method1_sgd
3,layer1,3,8,relu_0.1_method1_sgd
3,layer2,2,8,relu_0.1_method1_sgd
3,layer3,6,8,relu_0.1_method1_sgd
3,layer4,38,8,relu_0.1_method1_sgd
3,conv1,1,9,relu_0.1_method1_sgd
3,layer1,2,9,relu_0.1_method1_sgd
3,layer2,4,9,relu_0.1_method1_sgd
3,layer3,4,9,relu_0.1_method1_sgd
3,layer4,26,9,relu_0.1_method1_sgd
4,conv1,1,0,relu_0.1_method1_sgd
4,layer1,3,0,relu_0.1_method1_sgd
4,layer2,3,0,relu_0.1_method1_sgd
4,layer3,9,0,relu_0.1_method1_sgd
4,layer4,138,0,relu_0.1_method1_sgd
4,conv1,1,1,relu_0.1_method1_sgd
4,layer1,7,1,relu_0.1_method1_sgd
4,layer2,3,1,relu_0.1_method1_sgd
4,layer3,4,1,relu_0.1_method1_sgd
4,layer4,138,1,relu_0.1_method1_sgd
4,conv1,1,2,relu_0.1_method1_sgd
4,layer1,3,2,relu_0.1_method1_sgd
4,layer2,3,2,relu_0.1_method1_sgd
4,layer3,8,2,relu_0.1_method1_sgd
4,layer4,148,2,relu_0.1_method1_sgd
4,conv1,1,3,relu_0.1_method1_sgd
4,layer1,3,3,relu_0.1_method1_sgd
4,layer2,3,3,relu_0.1_method1_sgd
4,layer3,6,3,relu_0.1_method1_sgd
4,layer4,131,3,relu_0.1_method1_sgd
4,conv1,1,4,relu_0.1_method1_sgd
4,layer1,2,4,relu_0.1_method1_sgd
4,layer2,4,4,relu_0.1_method1_sgd
4,layer3,4,4,relu_0.1_method1_sgd
4,layer4,137,4,relu_0.1_method1_sgd
4,conv1,1,5,relu_0.1_method1_sgd
4,layer1,5,5,relu_0.1_method1_sgd
4,layer2,3,5,relu_0.1_method1_sgd
4,layer3,2,5,relu_0.1_method1_sgd
4,layer4,141,5,relu_0.1_method1_sgd
4,conv1,2,6,relu_0.1_method1_sgd
4,layer1,4,6,relu_0.1_method1_sgd
4,layer2,4,6,relu_0.1_method1_sgd
4,layer3,2,6,relu_0.1_method1_sgd
4,layer4,118,6,relu_0.1_method1_sgd
4,conv1,2,7,relu_0.1_method1_sgd
4,layer1,6,7,relu_0.1_method1_sgd
4,layer2,4,7,relu_0.1_method1_sgd
4,layer3,2,7,relu_0.1_method1_sgd
4,layer4,140,7,relu_0.1_method1_sgd
4,conv1,2,8,relu_0.1_method1_sgd
4,layer1,6,8,relu_0.1_method1_sgd
4,layer2,3,8,relu_0.1_method1_sgd
4,layer3,6,8,relu_0.1_method1_sgd
4,layer4,117,8,relu_0.1_method1_sgd
4,conv1,2,9,relu_0.1_method1_sgd
4,layer1,4,9,relu_0.1_method1_sgd
4,layer2,3,9,relu_0.1_method1_sgd
4,layer3,2,9,relu_0.1_method1_sgd
4,layer4,93,9,relu_0.1_method1_sgd
5,conv1,2,0,relu_0.1_method1_sgd
5,layer1,2,0,relu_0.1_method1_sgd
5,layer2,5,0,relu_0.1_method1_sgd
5,layer3,9,0,relu_0.1_method1_sgd
5,layer4,262,0,relu_0.1_method1_sgd
5,conv1,2,1,relu_0.1_method1_sgd
5,layer1,2,1,relu_0.1_method1_sgd
5,layer2,7,1,relu_0.1_method1_sgd
5,layer3,13,1,relu_0.1_method1_sgd
5,layer4,239,1,relu_0.1_method1_sgd
5,conv1,2,2,relu_0.1_method1_sgd
5,layer1,2,2,relu_0.1_method1_sgd
5,layer2,7,2,relu_0.1_method1_sgd
5,layer3,17,2,relu_0.1_method1_sgd
5,layer4,232,2,relu_0.1_method1_sgd
5,conv1,2,3,relu_0.1_method1_sgd
5,layer1,2,3,relu_0.1_method1_sgd
5,layer2,12,3,relu_0.1_method1_sgd
5,layer3,15,3,relu_0.1_method1_sgd
5,layer4,174,3,relu_0.1_method1_sgd
5,conv1,2,4,relu_0.1_method1_sgd
5,layer1,2,4,relu_0.1_method1_sgd
5,layer2,9,4,relu_0.1_method1_sgd
5,layer3,9,4,relu_0.1_method1_sgd
5,layer4,158,4,relu_0.1_method1_sgd
5,conv1,2,5,relu_0.1_method1_sgd
5,layer1,3,5,relu_0.1_method1_sgd
5,layer2,5,5,relu_0.1_method1_sgd
5,layer3,13,5,relu_0.1_method1_sgd
5,layer4,178,5,relu_0.1_method1_sgd
5,conv1,2,6,relu_0.1_method1_sgd
5,layer1,2,6,relu_0.1_method1_sgd
5,layer2,5,6,relu_0.1_method1_sgd
5,layer3,13,6,relu_0.1_method1_sgd
5,layer4,203,6,relu_0.1_method1_sgd
5,conv1,3,7,relu_0.1_method1_sgd
5,layer1,3,7,relu_0.1_method1_sgd
5,layer2,4,7,relu_0.1_method1_sgd
5,layer3,10,7,relu_0.1_method1_sgd
5,layer4,145,7,relu_0.1_method1_sgd
5,conv1,3,8,relu_0.1_method1_sgd
5,layer1,2,8,relu_0.1_method1_sgd
5,layer2,2,8,relu_0.1_method1_sgd
5,layer3,9,8,relu_0.1_method1_sgd
5,layer4,170,8,relu_0.1_method1_sgd
5,conv1,4,9,relu_0.1_method1_sgd
5,layer1,2,9,relu_0.1_method1_sgd
5,layer2,3,9,relu_0.1_method1_sgd
5,layer3,10,9,relu_0.1_method1_sgd
5,layer4,176,9,relu_0.1_method1_sgd
1,conv1,1,0,relu_0.025_method1_sgd
1,layer1,1,0,relu_0.025_method1_sgd
1,layer2,1,0,relu_0.025_method1_sgd
1,layer3,2,0,relu_0.025_method1_sgd
1,layer4,6,0,relu_0.025_method1_sgd
1,conv1,1,1,relu_0.025_method1_sgd
1,layer1,1,1,relu_0.025_method1_sgd
1,layer2,1,1,relu_0.025_method1_sgd
1,layer3,6,1,relu_0.025_method1_sgd
1,layer4,12,1,relu_0.025_method1_sgd
1,conv1,1,2,relu_0.025_method1_sgd
1,layer1,1,2,relu_0.025_method1_sgd
1,layer2,2,2,relu_0.025_method1_sgd
1,layer3,4,2,relu_0.025_method1_sgd
1,layer4,8,2,relu_0.025_method1_sgd
1,conv1,1,3,relu_0.025_method1_sgd
1,layer1,1,3,relu_0.025_method1_sgd
1,layer2,1,3,relu_0.025_method1_sgd
1,layer3,1,3,relu_0.025_method1_sgd
1,layer4,6,3,relu_0.025_method1_sgd
1,conv1,1,4,relu_0.025_method1_sgd
1,layer1,2,4,relu_0.025_method1_sgd
1,layer2,2,4,relu_0.025_method1_sgd
1,layer3,1,4,relu_0.025_method1_sgd
1,layer4,6,4,relu_0.025_method1_sgd
1,conv1,1,5,relu_0.025_method1_sgd
1,layer1,2,5,relu_0.025_method1_sgd
1,layer2,1,5,relu_0.025_method1_sgd
1,layer3,1,5,relu_0.025_method1_sgd
1,layer4,4,5,relu_0.025_method1_sgd
1,conv1,2,6,relu_0.025_method1_sgd
1,layer1,1,6,relu_0.025_method1_sgd
1,layer2,2,6,relu_0.025_method1_sgd
1,layer3,1,6,relu_0.025_method1_sgd
1,layer4,6,6,relu_0.025_method1_sgd
1,conv1,1,7,relu_0.025_method1_sgd
1,layer1,2,7,relu_0.025_method1_sgd
1,layer2,1,7,relu_0.025_method1_sgd
1,layer3,2,7,relu_0.025_method1_sgd
1,layer4,9,7,relu_0.025_method1_sgd
1,conv1,1,8,relu_0.025_method1_sgd
1,layer1,1,8,relu_0.025_method1_sgd
1,layer2,2,8,relu_0.025_method1_sgd
1,layer3,1,8,relu_0.025_method1_sgd
1,layer4,9,8,relu_0.025_method1_sgd
1,conv1,1,9,relu_0.025_method1_sgd
1,layer1,1,9,relu_0.025_method1_sgd
1,layer2,2,9,relu_0.025_method1_sgd
1,layer3,1,9,relu_0.025_method1_sgd
1,layer4,9,9,relu_0.025_method1_sgd
2,conv1,1,0,relu_0.025_method1_sgd
2,layer1,1,0,relu_0.025_method1_sgd
2,layer2,3,0,relu_0.025_method1_sgd
2,layer3,3,0,relu_0.025_method1_sgd
2,layer4,4,0,relu_0.025_method1_sgd
2,conv1,1,1,relu_0.025_method1_sgd
2,layer1,1,1,relu_0.025_method1_sgd
2,layer2,1,1,relu_0.025_method1_sgd
2,layer3,4,1,relu_0.025_method1_sgd
2,layer4,1,1,relu_0.025_method1_sgd
2,conv1,1,2,relu_0.025_method1_sgd
2,layer1,1,2,relu_0.025_method1_sgd
2,layer2,1,2,relu_0.025_method1_sgd
2,layer3,2,2,relu_0.025_method1_sgd
2,layer4,10,2,relu_0.025_method1_sgd
2,conv1,1,3,relu_0.025_method1_sgd
2,layer1,1,3,relu_0.025_method1_sgd
2,layer2,1,3,relu_0.025_method1_sgd
2,layer3,2,3,relu_0.025_method1_sgd
2,layer4,9,3,relu_0.025_method1_sgd
2,conv1,1,4,relu_0.025_method1_sgd
2,layer1,1,4,relu_0.025_method1_sgd
2,layer2,1,4,relu_0.025_method1_sgd
2,layer3,1,4,relu_0.025_method1_sgd
2,layer4,9,4,relu_0.025_method1_sgd
2,conv1,1,5,relu_0.025_method1_sgd
2,layer1,1,5,relu_0.025_method1_sgd
2,layer2,1,5,relu_0.025_method1_sgd
2,layer3,1,5,relu_0.025_method1_sgd
2,layer4,5,5,relu_0.025_method1_sgd
2,conv1,1,6,relu_0.025_method1_sgd
2,layer1,2,6,relu_0.025_method1_sgd
2,layer2,1,6,relu_0.025_method1_sgd
2,layer3,1,6,relu_0.025_method1_sgd
2,layer4,8,6,relu_0.025_method1_sgd
2,conv1,1,7,relu_0.025_method1_sgd
2,layer1,1,7,relu_0.025_method1_sgd
2,layer2,1,7,relu_0.025_method1_sgd
2,layer3,1,7,relu_0.025_method1_sgd
2,layer4,7,7,relu_0.025_method1_sgd
2,conv1,1,8,relu_0.025_method1_sgd
2,layer1,1,8,relu_0.025_method1_sgd
2,layer2,1,8,relu_0.025_method1_sgd
2,layer3,1,8,relu_0.025_method1_sgd
2,layer4,11,8,relu_0.025_method1_sgd
2,conv1,1,9,relu_0.025_method1_sgd
2,layer1,2,9,relu_0.025_method1_sgd
2,layer2,1,9,relu_0.025_method1_sgd
2,layer3,1,9,relu_0.025_method1_sgd
2,layer4,5,9,relu_0.025_method1_sgd
3,conv1,1,0,relu_0.025_method1_sgd
3,layer1,1,0,relu_0.025_method1_sgd
3,layer2,2,0,relu_0.025_method1_sgd
3,layer3,2,0,relu_0.025_method1_sgd
3,layer4,17,0,relu_0.025_method1_sgd
3,conv1,1,1,relu_0.025_method1_sgd
3,layer1,1,1,relu_0.025_method1_sgd
3,layer2,1,1,relu_0.025_method1_sgd
3,layer3,1,1,relu_0.025_method1_sgd
3,layer4,9,1,relu_0.025_method1_sgd
3,conv1,1,2,relu_0.025_method1_sgd
3,layer1,1,2,relu_0.025_method1_sgd
3,layer2,1,2,relu_0.025_method1_sgd
3,layer3,2,2,relu_0.025_method1_sgd
3,layer4,10,2,relu_0.025_method1_sgd
3,conv1,1,3,relu_0.025_method1_sgd
3,layer1,1,3,relu_0.025_method1_sgd
3,layer2,1,3,relu_0.025_method1_sgd
3,layer3,1,3,relu_0.025_method1_sgd
3,layer4,12,3,relu_0.025_method1_sgd
3,conv1,1,4,relu_0.025_method1_sgd
3,layer1,1,4,relu_0.025_method1_sgd
3,layer2,1,4,relu_0.025_method1_sgd
3,layer3,1,4,relu_0.025_method1_sgd
3,layer4,6,4,relu_0.025_method1_sgd
3,conv1,1,5,relu_0.025_method1_sgd
3,layer1,1,5,relu_0.025_method1_sgd
3,layer2,3,5,relu_0.025_method1_sgd
3,layer3,1,5,relu_0.025_method1_sgd
3,layer4,8,5,relu_0.025_method1_sgd
3,conv1,1,6,relu_0.025_method1_sgd
3,layer1,1,6,relu_0.025_method1_sgd
3,layer2,1,6,relu_0.025_method1_sgd
3,layer3,1,6,relu_0.025_method1_sgd
3,layer4,5,6,relu_0.025_method1_sgd
3,conv1,1,7,relu_0.025_method1_sgd
3,layer1,2,7,relu_0.025_method1_sgd
3,layer2,1,7,relu_0.025_method1_sgd
3,layer3,1,7,relu_0.025_method1_sgd
3,layer4,7,7,relu_0.025_method1_sgd
3,conv1,1,8,relu_0.025_method1_sgd
3,layer1,1,8,relu_0.025_method1_sgd
3,layer2,1,8,relu_0.025_method1_sgd
3,layer3,2,8,relu_0.025_method1_sgd
3,layer4,10,8,relu_0.025_method1_sgd
3,conv1,1,9,relu_0.025_method1_sgd
3,layer1,3,9,relu_0.025_method1_sgd
3,layer2,1,9,relu_0.025_method1_sgd
3,layer3,1,9,relu_0.025_method1_sgd
3,layer4,10,9,relu_0.025_method1_sgd
4,conv1,1,0,relu_0.025_method1_sgd
4,layer1,1,0,relu_0.025_method1_sgd
4,layer2,2,0,relu_0.025_method1_sgd
4,layer3,1,0,relu_0.025_method1_sgd
4,layer4,24,0,relu_0.025_method1_sgd
4,conv1,1,1,relu_0.025_method1_sgd
4,layer1,1,1,relu_0.025_method1_sgd
4,layer2,2,1,relu_0.025_method1_sgd
4,layer3,1,1,relu_0.025_method1_sgd
4,layer4,16,1,relu_0.025_method1_sgd
4,conv1,1,2,relu_0.025_method1_sgd
4,layer1,2,2,relu_0.025_method1_sgd
4,layer2,2,2,relu_0.025_method1_sgd
4,layer3,2,2,relu_0.025_method1_sgd
4,layer4,19,2,relu_0.025_method1_sgd
4,conv1,1,3,relu_0.025_method1_sgd
4,layer1,1,3,relu_0.025_method1_sgd
4,layer2,1,3,relu_0.025_method1_sgd
4,layer3,2,3,relu_0.025_method1_sgd
4,layer4,18,3,relu_0.025_method1_sgd
4,conv1,1,4,relu_0.025_method1_sgd
4,layer1,1,4,relu_0.025_method1_sgd
4,layer2,1,4,relu_0.025_method1_sgd
4,layer3,3,4,relu_0.025_method1_sgd
4,layer4,14,4,relu_0.025_method1_sgd
4,conv1,1,5,relu_0.025_method1_sgd
4,layer1,1,5,relu_0.025_method1_sgd
4,layer2,1,5,relu_0.025_method1_sgd
4,layer3,3,5,relu_0.025_method1_sgd
4,layer4,16,5,relu_0.025_method1_sgd
4,conv1,1,6,relu_0.025_method1_sgd
4,layer1,2,6,relu_0.025_method1_sgd
4,layer2,1,6,relu_0.025_method1_sgd
4,layer3,5,6,relu_0.025_method1_sgd
4,layer4,9,6,relu_0.025_method1_sgd
4,conv1,1,7,relu_0.025_method1_sgd
4,layer1,1,7,relu_0.025_method1_sgd
4,layer2,1,7,relu_0.025_method1_sgd
4,layer3,2,7,relu_0.025_method1_sgd
4,layer4,11,7,relu_0.025_method1_sgd
4,conv1,1,8,relu_0.025_method1_sgd
4,layer1,1,8,relu_0.025_method1_sgd
4,layer2,1,8,relu_0.025_method1_sgd
4,layer3,6,8,relu_0.025_method1_sgd
4,layer4,5,8,relu_0.025_method1_sgd
4,conv1,1,9,relu_0.025_method1_sgd
4,layer1,2,9,relu_0.025_method1_sgd
4,layer2,1,9,relu_0.025_method1_sgd
4,layer3,2,9,relu_0.025_method1_sgd
4,layer4,10,9,relu_0.025_method1_sgd
5,conv1,1,0,relu_0.025_method1_sgd
5,layer1,2,0,relu_0.025_method1_sgd
5,layer2,2,0,relu_0.025_method1_sgd
5,layer3,4,0,relu_0.025_method1_sgd
5,layer4,52,0,relu_0.025_method1_sgd
5,conv1,1,1,relu_0.025_method1_sgd
5,layer1,1,1,relu_0.025_method1_sgd
5,layer2,1,1,relu_0.025_method1_sgd
5,layer3,3,1,relu_0.025_method1_sgd
5,layer4,18,1,relu_0.025_method1_sgd
5,conv1,1,2,relu_0.025_method1_sgd
5,layer1,1,2,relu_0.025_method1_sgd
5,layer2,2,2,relu_0.025_method1_sgd
5,layer3,2,2,relu_0.025_method1_sgd
5,layer4,20,2,relu_0.025_method1_sgd
5,conv1,1,3,relu_0.025_method1_sgd
5,layer1,1,3,relu_0.025_method1_sgd
5,layer2,1,3,relu_0.025_method1_sgd
5,layer3,2,3,relu_0.025_method1_sgd
5,layer4,24,3,relu_0.025_method1_sgd
5,conv1,1,4,relu_0.025_method1_sgd
5,layer1,2,4,relu_0.025_method1_sgd
5,layer2,1,4,relu_0.025_method1_sgd
5,layer3,1,4,relu_0.025_method1_sgd
5,layer4,13,4,relu_0.025_method1_sgd
5,conv1,1,5,relu_0.025_method1_sgd
5,layer1,2,5,relu_0.025_method1_sgd
5,layer2,2,5,relu_0.025_method1_sgd
5,layer3,1,5,relu_0.025_method1_sgd
5,layer4,17,5,relu_0.025_method1_sgd
5,conv1,1,6,relu_0.025_method1_sgd
5,layer1,1,6,relu_0.025_method1_sgd
5,layer2,2,6,relu_0.025_method1_sgd
5,layer3,1,6,relu_0.025_method1_sgd
5,layer4,19,6,relu_0.025_method1_sgd
5,conv1,1,7,relu_0.025_method1_sgd
5,layer1,1,7,relu_0.025_method1_sgd
5,layer2,1,7,relu_0.025_method1_sgd
5,layer3,2,7,relu_0.025_method1_sgd
5,layer4,24,7,relu_0.025_method1_sgd
5,conv1,1,8,relu_0.025_method1_sgd
5,layer1,1,8,relu_0.025_method1_sgd
5,layer2,1,8,relu_0.025_method1_sgd
5,layer3,1,8,relu_0.025_method1_sgd
5,layer4,19,8,relu_0.025_method1_sgd
5,conv1,1,9,relu_0.025_method1_sgd
5,layer1,1,9,relu_0.025_method1_sgd
5,layer2,1,9,relu_0.025_method1_sgd
5,layer3,4,9,relu_0.025_method1_sgd
5,layer4,10,9,relu_0.025_method1_sgd
1,conv1,2,0,relu_0.05_method1_sgd
1,layer1,1,0,relu_0.05_method1_sgd
1,layer2,2,0,relu_0.05_method1_sgd
1,layer3,5,0,relu_0.05_method1_sgd
1,layer4,33,0,relu_0.05_method1_sgd
1,conv1,2,1,relu_0.05_method1_sgd
1,layer1,2,1,relu_0.05_method1_sgd
1,layer2,2,1,relu_0.05_method1_sgd
1,layer3,8,1,relu_0.05_method1_sgd
1,layer4,59,1,relu_0.05_method1_sgd
1,conv1,3,2,relu_0.05_method1_sgd
1,layer1,1,2,relu_0.05_method1_sgd
1,layer2,2,2,relu_0.05_method1_sgd
1,layer3,4,2,relu_0.05_method1_sgd
1,layer4,42,2,relu_0.05_method1_sgd
1,conv1,1,3,relu_0.05_method1_sgd
1,layer1,1,3,relu_0.05_method1_sgd
1,layer2,2,3,relu_0.05_method1_sgd
1,layer3,4,3,relu_0.05_method1_sgd
1,layer4,36,3,relu_0.05_method1_sgd
1,conv1,1,4,relu_0.05_method1_sgd
1,layer1,3,4,relu_0.05_method1_sgd
1,layer2,4,4,relu_0.05_method1_sgd
1,layer3,1,4,relu_0.05_method1_sgd
1,layer4,17,4,relu_0.05_method1_sgd
1,conv1,1,5,relu_0.05_method1_sgd
1,layer1,4,5,relu_0.05_method1_sgd
1,layer2,1,5,relu_0.05_method1_sgd
1,layer3,3,5,relu_0.05_method1_sgd
1,layer4,16,5,relu_0.05_method1_sgd
1,conv1,2,6,relu_0.05_method1_sgd
1,layer1,1,6,relu_0.05_method1_sgd
1,layer2,3,6,relu_0.05_method1_sgd
1,layer3,1,6,relu_0.05_method1_sgd
1,layer4,34,6,relu_0.05_method1_sgd
1,conv1,1,7,relu_0.05_method1_sgd
1,layer1,3,7,relu_0.05_method1_sgd
1,layer2,1,7,relu_0.05_method1_sgd
1,layer3,3,7,relu_0.05_method1_sgd
1,layer4,34,7,relu_0.05_method1_sgd
1,conv1,1,8,relu_0.05_method1_sgd
1,layer1,1,8,relu_0.05_method1_sgd
1,layer2,2,8,relu_0.05_method1_sgd
1,layer3,1,8,relu_0.05_method1_sgd
1,layer4,20,8,relu_0.05_method1_sgd
1,conv1,1,9,relu_0.05_method1_sgd
1,layer1,1,9,relu_0.05_method1_sgd
1,layer2,2,9,relu_0.05_method1_sgd
1,layer3,2,9,relu_0.05_method1_sgd
1,layer4,24,9,relu_0.05_method1_sgd
2,conv1,1,0,relu_0.05_method1_sgd
2,layer1,4,0,relu_0.05_method1_sgd
2,layer2,1,0,relu_0.05_method1_sgd
2,layer3,9,0,relu_0.05_method1_sgd
2,layer4,15,0,relu_0.05_method1_sgd
2,conv1,1,1,relu_0.05_method1_sgd
2,layer1,3,1,relu_0.05_method1_sgd
2,layer2,1,1,relu_0.05_method1_sgd
2,layer3,9,1,relu_0.05_method1_sgd
2,layer4,24,1,relu_0.05_method1_sgd
2,conv1,1,2,relu_0.05_method1_sgd
2,layer1,1,2,relu_0.05_method1_sgd
2,layer2,1,2,relu_0.05_method1_sgd
2,layer3,10,2,relu_0.05_method1_sgd
2,layer4,48,2,relu_0.05_method1_sgd
2,conv1,1,3,relu_0.05_method1_sgd
2,layer1,1,3,relu_0.05_method1_sgd
2,layer2,1,3,relu_0.05_method1_sgd
2,layer3,8,3,relu_0.05_method1_sgd
2,layer4,52,3,relu_0.05_method1_sgd
2,conv1,1,4,relu_0.05_method1_sgd
2,layer1,1,4,relu_0.05_method1_sgd
2,layer2,3,4,relu_0.05_method1_sgd
2,layer3,1,4,relu_0.05_method1_sgd
2,layer4,45,4,relu_0.05_method1_sgd
2,conv1,1,5,relu_0.05_method1_sgd
2,layer1,1,5,relu_0.05_method1_sgd
2,layer2,1,5,relu_0.05_method1_sgd
2,layer3,3,5,relu_0.05_method1_sgd
2,layer4,41,5,relu_0.05_method1_sgd
2,conv1,1,6,relu_0.05_method1_sgd
