task,layer,inactive_count,epoch,model
3,conv1,2,3,relu_0.05_method1_sgd
3,layer1,1,3,relu_0.05_method1_sgd
3,layer2,1,3,relu_0.05_method1_sgd
3,layer3,4,3,relu_0.05_method1_sgd
3,layer4,1,3,relu_0.05_method1_sgd
3,conv1,2,4,relu_0.05_method1_sgd
3,layer1,2,4,relu_0.05_method1_sgd
3,layer2,1,4,relu_0.05_method1_sgd
3,layer3,5,4,relu_0.05_method1_sgd
3,layer4,6,4,relu_0.05_method1_sgd
3,conv1,2,5,relu_0.05_method1_sgd
3,layer1,1,5,relu_0.05_method1_sgd
3,layer2,2,5,relu_0.05_method1_sgd
3,layer3,4,5,relu_0.05_method1_sgd
3,layer4,1,5,relu_0.05_method1_sgd
3,conv1,2,6,relu_0.05_method1_sgd
3,layer1,2,6,relu_0.05_method1_sgd
3,layer2,2,6,relu_0.05_method1_sgd
3,layer3,2,6,relu_0.05_method1_sgd
3,layer4,1,6,relu_0.05_method1_sgd
3,conv1,2,7,relu_0.05_method1_sgd
3,layer1,1,7,relu_0.05_method1_sgd
3,layer2,2,7,relu_0.05_method1_sgd
3,layer3,3,7,relu_0.05_method1_sgd
3,layer4,4,7,relu_0.05_method1_sgd
3,conv1,2,8,relu_0.05_method1_sgd
3,layer1,1,8,relu_0.05_method1_sgd
3,layer2,3,8,relu_0.05_method1_sgd
3,layer3,3,8,relu_0.05_method1_sgd
3,layer4,1,8,relu_0.05_method1_sgd
3,conv1,2,9,relu_0.05_method1_sgd
3,layer1,1,9,relu_0.05_method1_sgd
3,layer2,3,9,relu_0.05_method1_sgd
3,layer3,2,9,relu_0.05_method1_sgd
3,layer4,5,9,relu_0.05_method1_sgd
4,conv1,2,0,relu_0.05_method1_sgd
4,layer1,2,0,relu_0.05_method1_sgd
4,layer2,1,0,relu_0.05_method1_sgd
4,layer3,4,0,relu_0.05_method1_sgd
4,layer4,1,0,relu_0.05_method1_sgd
4,conv1,2,1,relu_0.05_method1_sgd
4,layer1,2,1,relu_0.05_method1_sgd
4,layer2,1,1,relu_0.05_method1_sgd
4,layer3,1,1,relu_0.05_method1_sgd
4,layer4,1,1,relu_0.05_method1_sgd
4,conv1,2,2,relu_0.05_method1_sgd
4,layer1,2,2,relu_0.05_method1_sgd
4,layer2,2,2,relu_0.05_method1_sgd
4,layer3,2,2,relu_0.05_method1_sgd
4,layer4,1,2,relu_0.05_method1_sgd
