model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,77.12,78.03,64.12,68.66,77.01
relu_0.1_ours_adam,98.0,64.4,64.37,60.49,66.11,70.67
relu_0.1_ours_sgd,97.1,77.12,74.3,62.04,66.88,75.49
relu_0.2_ours_adam,98.0,64.4,62.6,64.04,52.24,68.26
relu_0.2_ours_sgd,97.1,74.03,71.77,57.89,68.52,73.86
relu_0.3_ours_adam,98.0,57.08,67.67,64.38,66.23,70.67
relu_0.3_ours_sgd,97.1,77.3,76.8,58.96,61.47,74.33
