model,1,2,3,4,5
relu_0.1_ours_adam,0.0,1.0,1.0,1.0,1.0
relu_0.1_ours_sgd,0.0,2.0,62.0,0.0,80.0
relu_0.2_ours_adam,0.0,42.0,17.0,37.0,0.0
relu_0.2_ours_sgd,26.0,284.0,235.0,283.0,277.0
relu_0.3_ours_adam,2.0,0.0,50.0,102.0,34.0
relu_0.3_ours_sgd,384.0,426.0,431.0,326.0,352.0
