model,num_tasks_seen,task,metric_type,accuracy
leaky_relu_0.2_ghada_sgd,2,avg,Task-IL,68.97
leaky_relu_0.2_ghada_sgd,3,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,3,0,Task-IL,74.3
leaky_relu_0.2_ghada_sgd,3,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,3,1,Task-IL,69.05
leaky_relu_0.2_ghada_sgd,3,2,Class-IL,90.10000000000001
leaky_relu_0.2_ghada_sgd,3,2,Task-IL,90.10000000000001
leaky_relu_0.2_ghada_sgd,3,avg,Class-IL,30.03
leaky_relu_0.2_ghada_sgd,3,avg,Task-IL,77.82
leaky_relu_0.2_ghada_sgd,4,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,0,Task-IL,48.35
leaky_relu_0.2_ghada_sgd,4,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,1,Task-IL,56.89999999999999
leaky_relu_0.2_ghada_sgd,4,2,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,2,Task-IL,72.95
leaky_relu_0.2_ghada_sgd,4,3,Class-IL,94.75
leaky_relu_0.2_ghada_sgd,4,3,Task-IL,94.75
leaky_relu_0.2_ghada_sgd,4,avg,Class-IL,23.69
leaky_relu_0.2_ghada_sgd,4,avg,Task-IL,68.24
leaky_relu_0.2_ghada_sgd,5,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,0,Task-IL,72.35000000000001
leaky_relu_0.2_ghada_sgd,5,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,1,Task-IL,46.7
leaky_relu_0.2_ghada_sgd,5,2,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,2,Task-IL,53.25
leaky_relu_0.2_ghada_sgd,5,3,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,3,Task-IL,52.0
leaky_relu_0.2_ghada_sgd,5,4,Class-IL,93.5
leaky_relu_0.2_ghada_sgd,5,4,Task-IL,93.5
leaky_relu_0.2_ghada_sgd,5,avg,Class-IL,18.7
leaky_relu_0.2_ghada_sgd,5,avg,Task-IL,63.56
leaky_relu_0.2_ours_adam,1,0,Class-IL,93.2
leaky_relu_0.2_ours_adam,1,0,Task-IL,93.2
leaky_relu_0.2_ours_adam,1,avg,Class-IL,93.2
leaky_relu_0.2_ours_adam,1,avg,Task-IL,93.2
leaky_relu_0.2_ours_adam,2,0,Class-IL,0.0
leaky_relu_0.2_ours_adam,2,0,Task-IL,49.85
leaky_relu_0.2_ours_adam,2,1,Class-IL,84.25
leaky_relu_0.2_ours_adam,2,1,Task-IL,84.25
leaky_relu_0.2_ours_adam,2,avg,Class-IL,42.12
leaky_relu_0.2_ours_adam,2,avg,Task-IL,67.05
leaky_relu_0.2_ours_adam,3,0,Class-IL,0.0
leaky_relu_0.2_ours_adam,3,0,Task-IL,51.15
leaky_relu_0.2_ours_adam,3,1,Class-IL,0.0
leaky_relu_0.2_ours_adam,3,1,Task-IL,67.05
leaky_relu_0.2_ours_adam,3,2,Class-IL,90.10000000000001
leaky_relu_0.2_ours_adam,3,2,Task-IL,90.10000000000001
leaky_relu_0.2_ours_adam,3,avg,Class-IL,30.03
leaky_relu_0.2_ours_adam,3,avg,Task-IL,69.43
leaky_relu_0.2_ours_adam,4,0,Class-IL,0.0
leaky_relu_0.2_ours_adam,4,0,Task-IL,46.800000000000004
leaky_relu_0.2_ours_adam,4,1,Class-IL,0.0
leaky_relu_0.2_ours_adam,4,1,Task-IL,54.2
leaky_relu_0.2_ours_adam,4,2,Class-IL,0.0
leaky_relu_0.2_ours_adam,4,2,Task-IL,53.949999999999996
leaky_relu_0.2_ours_adam,4,3,Class-IL,95.6
leaky_relu_0.2_ours_adam,4,3,Task-IL,95.6
leaky_relu_0.2_ours_adam,4,avg,Class-IL,23.9
leaky_relu_0.2_ours_adam,4,avg,Task-IL,62.64
leaky_relu_0.2_ours_adam,5,0,Class-IL,0.0
leaky_relu_0.2_ours_adam,5,0,Task-IL,79.9
leaky_relu_0.2_ours_adam,5,1,Class-IL,0.0
leaky_relu_0.2_ours_adam,5,1,Task-IL,50.349999999999994
leaky_relu_0.2_ours_adam,5,2,Class-IL,0.0
leaky_relu_0.2_ours_adam,5,2,Task-IL,53.400000000000006
leaky_relu_0.2_ours_adam,5,3,Class-IL,0.2
leaky_relu_0.2_ours_adam,5,3,Task-IL,53.0
leaky_relu_0.2_ours_adam,5,4,Class-IL,88.7
leaky_relu_0.2_ours_adam,5,4,Task-IL,90.25
leaky_relu_0.2_ours_adam,5,avg,Class-IL,17.78
leaky_relu_0.2_ours_adam,5,avg,Task-IL,65.38
leaky_relu_0.3_ours_sgd,1,0,Class-IL,66.7
leaky_relu_0.3_ours_sgd,1,0,Task-IL,66.7
leaky_relu_0.3_ours_sgd,1,avg,Class-IL,66.7
leaky_relu_0.3_ours_sgd,1,avg,Task-IL,66.7
leaky_relu_0.3_ours_sgd,2,0,Class-IL,0.0
leaky_relu_0.3_ours_sgd,2,0,Task-IL,66.5
leaky_relu_0.3_ours_sgd,2,1,Class-IL,66.25
leaky_relu_0.3_ours_sgd,2,1,Task-IL,66.25
leaky_relu_0.3_ours_sgd,2,avg,Class-IL,33.12
leaky_relu_0.3_ours_sgd,2,avg,Task-IL,66.38
leaky_relu_0.3_ours_sgd,3,0,Class-IL,0.0
leaky_relu_0.3_ours_sgd,3,0,Task-IL,71.05
leaky_relu_0.3_ours_sgd,3,1,Class-IL,0.0
